admn_no,name,class,stream,student_contact,guardian_contact,guardian_email
42443,Luis Fisher,12,commerce,6623050742,9498069143,ryanfisher@email.com
43933,William Bryant,12,science,9766266712,7321539593,abigailbryant@email.com
64922,Gary Green,12,humanities,7652438447,8708919711,ericgreen@email.com
71969,Johnny Mullins,12,humanities,7623088703,7962439736,courtneymullins@email.com
85798,Charles Bell,12,commerce,8893183338,7463035603,ashleybell@email.com
38564,Danny Maddox,12,commerce,9020742613,8967753529,brandymaddox@email.com
43448,Sandra Campbell,12,humanities,7300763099,7833117765,marycampbell@email.com
87120,Tracy Henderson,12,science,7931069746,6473478416,mrs.henderson@email.com
16382,Joseph Anderson,12,commerce,9199209505,7008534914,amandaanderson@email.com
12944,Francisco Mahoney,12,science,9501347829,8069707628,joshuamahoney@email.com
47582,Austin Phillips,12,commerce,6934969222,7559973580,normanphillips@email.com
73293,Tammy Wilson,12,science,7466298866,9442325575,carolynwilson@email.com
14102,Thomas Le,12,science,6660058250,9662088428,briannale@email.com
96912,Brandon Willis,12,science,7397445373,6858590122,rebeccawillis@email.com
77752,Kevin Lopez,12,commerce,7072157912,8324552834,austinlopez@email.com
28225,Sara Matthews,12,science,8714974187,9389933564,sharonmatthews@email.com
40887,Nichole Collins,12,commerce,7997999130,7848023777,michaelcollins@email.com
12609,Kevin Cowan,12,science,9558560111,9388240764,cynthiacowan@email.com
24615,Valerie Walker,12,humanities,6664092230,8993410793,sarawalker@email.com
28724,Sarah Reyes,12,humanities,7543614446,8594557224,vincentreyes@email.com
75547,Nancy Thomas,12,science,6688162943,7145048813,davidthomas@email.com
59430,Brittney Patel,12,humanities,8788427633,8947381507,leahpatel@email.com
52899,Amanda Burgess,12,science,7045294533,6749128452,dannyburgess@email.com
46205,Charles Rodriguez,12,commerce,6342952028,9107324278,katelynrodriguez@email.com
34139,William Hartman,12,science,7881824093,8742859271,laurahartman@email.com
88894,William Brown,12,commerce,6616660493,7060808402,reginabrown@email.com
17727,Steven Johnson,12,science,9213021384,6432152995,kimjohnson@email.com
97435,William Pennington,12,commerce,8995561426,6671318024,phillippennington@email.com
77530,Heather Rodriguez,12,humanities,8616705134,8717301583,jacksonrodriguez@email.com
93583,Todd Rush,12,science,7501331991,8777219623,daniellerush@email.com
85203,Jennifer Freeman,12,humanities,7635442944,9117775450,johnfreeman@email.com
81109,Kimberly Jones,12,humanities,9860749015,8911763662,daniellejones@email.com
25639,Pam Allen,12,science,7047212204,6666752495,lisaallen@email.com
86423,Betty Austin,12,commerce,8833241709,9126329496,ricardoaustin@email.com
67579,Daniel Wood,12,science,8291597559,8910893740,lisawood@email.com
84817,Stacy Adams,12,humanities,6688815263,9295893130,seanadams@email.com
32602,Sarah Jones,12,science,9636827110,9455635594,briannajones@email.com
55460,Laura Johnson,12,humanities,9518557447,7711891168,darrenjohnson@email.com
92633,Diana Lester,12,science,7642457720,7174503906,chelsealester@email.com
50680,Jillian Turner,12,humanities,9526766119,7086771410,andrewturner@email.com
65954,Angelica Marquez,12,humanities,9166187544,7560572738,shannonmarquez@email.com
78708,David Rosario,12,commerce,7204776904,9289474076,barryrosario@email.com
89381,Gregory Brown,12,humanities,6301267435,8933705765,benjaminbrown@email.com
45696,Mary Brooks,12,humanities,8995746015,6756831244,anthonybrooks@email.com
51443,Brian Curry,12,humanities,7613498808,8445148515,samanthacurry@email.com
18506,Colleen Garza,12,science,7168017034,8814326386,tracygarza@email.com
63741,Judith Chapman,12,commerce,6497580773,7244091132,jessicachapman@email.com
17367,John Duran,12,science,9681039986,9147930110,cynthiaduran@email.com
67297,Nichole Miller,12,science,8925874125,7205253628,josemiller@email.com
41911,William Jones,12,commerce,6867648712,8099564581,jeffreyjones@email.com
